,movieId,title,genres,AvgRating,tag
448,513,Radioland Murders (1994),Comedy|Mystery|Romance,3.375,1343.0
450,515,"Remains of the Day, The (1993)",Drama|Romance,3.6041666666666665,161.0
451,516,Renaissance Man (1994),Comedy|Drama,3.0555555555555554,1143.0
457,522,Romper Stomper (1992),Action|Drama,3.2857142857142856,968.0
459,524,Rudy (1993),Drama,3.485294117647059,922.0
461,527,Schindler's List (1993),Drama|War,4.225,870.2857142857143
463,529,Searching for Bobby Fischer (1993),Drama,3.875,743.0
464,531,"Secret Garden, The (1993)",Children|Drama,3.25,249.0
467,534,Shadowlands (1993),Drama|Romance,3.607142857142857,83.0
468,535,Short Cuts (1993),Drama,3.2666666666666666,1087.0
471,538,Six Degrees of Separation (1993),Drama,3.5833333333333335,1302.0
472,539,Sleepless in Seattle (1993),Comedy|Drama|Romance,3.4716981132075473,165.0
473,540,Sliver (1993),Thriller,2.6666666666666665,640.0
474,541,Blade Runner (1982),Action|Sci-Fi|Thriller,4.100806451612903,882.5384615384615
476,543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,3.317073170731707,664.0
483,551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,3.553763440860215,157.5
484,552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,3.262295081967213,1082.0
487,556,"War Room, The (1993)",Documentary,3.3333333333333335,1256.0
489,562,Welcome to the Dollhouse (1995),Comedy|Drama,3.5434782608695654,580.0
504,586,Home Alone (1990),Children|Comedy,2.9956896551724137,750.0
505,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,3.4347826086956523,1227.0
506,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,3.7923497267759565,140.0
507,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,3.970982142857143,879.125
508,590,Dances with Wolves (1990),Adventure|Drama|Western,3.8353658536585367,201.5
509,592,Batman (1989),Action|Crime|Thriller,3.4285714285714284,1457.0
510,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,4.161290322580645,937.6666666666666
511,594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,3.616883116883117,140.0
512,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,3.7705479452054793,140.0
513,596,Pinocchio (1940),Animation|Children|Fantasy|Musical,3.45,140.0
514,597,Pretty Woman (1990),Comedy|Romance,3.4851851851851854,1278.0
520,608,Fargo (1996),Comedy|Crime|Drama|Thriller,4.116022099447513,477.8
527,616,"Aristocats, The (1970)",Animation|Children,3.411111111111111,140.0
533,628,Primal Fear (1996),Crime|Drama|Mystery|Thriller,3.642857142857143,1317.6666666666667
541,638,Jack and Sarah (1995),Romance,3.0,639.0
545,647,Courage Under Fire (1996),Action|Crime|Drama|War,3.3275862068965516,206.0
546,648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,3.537037037037037,657.0
556,668,Song of the Little Road (Pather Panchali) (1955),Drama,4.25,251.0
557,670,"World of Apu, The (Apur Sansar) (1959)",Drama,4.75,251.0
558,671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,3.486111111111111,1427.0
559,673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,2.707547169811321,81.0
576,707,Mulholland Falls (1996),Crime|Drama|Thriller,2.880952380952381,640.0
577,708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,3.3879310344827585,546.0
585,720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy,4.092592592592593,16.0
590,728,Cold Comfort Farm (1995),Comedy,3.5,249.0
592,733,"Rock, The (1996)",Action|Adventure|Thriller,3.6404958677685952,620.3333333333334
594,736,Twister (1996),Action|Adventure|Romance|Thriller,3.321138211382114,139.0
599,745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy,3.8958333333333335,16.0
601,748,"Arrival, The (1996)",Action|Sci-Fi|Thriller,3.1136363636363638,590.0
602,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,4.268041237113402,743.7
613,778,Trainspotting (1996),Comedy|Crime|Drama,4.03921568627451,879.75
615,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,3.4455445544554455,590.0
628,800,Lone Star (1996),Drama|Mystery|Western,4.157894736842105,249.0
633,805,"Time to Kill, A (1996)",Drama|Thriller,3.657142857142857,287.0
639,818,"Very Brady Sequel, A (1996)",Comedy,3.25,657.0
644,830,"First Wives Club, The (1996)",Comedy,3.0714285714285716,584.0
645,832,Ransom (1996),Crime|Thriller,3.3378378378378377,466.75
648,836,Chain Reaction (1996),Action|Adventure|Thriller,2.8823529411764706,1364.0
650,838,Emma (1996),Comedy|Drama|Romance,3.9166666666666665,268.0
658,852,Tin Cup (1996),Comedy|Drama|Romance,3.1744186046511627,953.0
659,858,"Godfather, The (1972)",Crime|Drama,4.2890625,326.0
676,892,Twelfth Night (1996),Comedy|Drama|Romance,3.5384615384615383,476.0
680,898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,4.310344827586207,845.0
681,899,Singin' in the Rain (1952),Comedy|Musical|Romance,4.074468085106383,1166.0
682,900,"American in Paris, An (1951)",Musical|Romance,3.7083333333333335,183.0
684,902,Breakfast at Tiffany's (1961),Drama|Romance,3.8472222222222223,89.0
685,903,Vertigo (1958),Drama|Mystery|Romance|Thriller,4.025,454.0
686,904,Rear Window (1954),Mystery|Thriller,4.261904761904762,1086.1666666666667
687,905,It Happened One Night (1934),Comedy|Romance,4.321428571428571,470.0
688,906,Gaslight (1944),Drama|Thriller,4.142857142857143,79.0
689,907,"Gay Divorcee, The (1934)",Comedy|Musical|Romance,3.5,845.0
690,908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,4.184210526315789,472.3333333333333
691,909,"Apartment, The (1960)",Comedy|Drama|Romance,3.962962962962963,584.0
692,910,Some Like It Hot (1959),Comedy|Crime,4.01,1136.0
693,911,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller,3.8076923076923075,994.0
694,912,Casablanca (1942),Drama|Romance,4.24,1434.0
695,913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,4.170454545454546,1435.0
696,914,My Fair Lady (1964),Comedy|Drama|Musical|Romance,4.042857142857143,193.0
697,915,Sabrina (1954),Comedy|Romance,3.7666666666666666,1330.0
698,916,Roman Holiday (1953),Comedy|Drama|Romance,4.0576923076923075,800.5
700,918,Meet Me in St. Louis (1944),Musical,4.1,2.0
701,919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,3.880434782608696,340.0
702,920,Gone with the Wind (1939),Drama|Romance|War,3.6444444444444444,108.0
703,921,My Favorite Year (1982),Comedy,3.388888888888889,1483.0
704,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance,4.333333333333333,1068.0
705,923,Citizen Kane (1941),Drama|Mystery,4.043478260869565,453.0
706,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,3.8944954128440368,1052.5853658536585
707,926,All About Eve (1950),Drama,4.229166666666667,233.0
708,927,"Women, The (1939)",Comedy,4.0,845.0
709,928,Rebecca (1940),Drama|Mystery|Romance|Thriller,4.166666666666667,364.0
710,929,Foreign Correspondent (1940),Drama|Film-Noir|Mystery|Thriller,3.5,935.3333333333334
711,930,Notorious (1946),Film-Noir|Romance|Thriller,4.25,627.0
712,931,Spellbound (1945),Mystery|Romance|Thriller,3.8333333333333335,601.0
715,934,Father of the Bride (1950),Comedy,3.25,1564.0
717,936,Ninotchka (1939),Comedy|Romance,4.0,285.0
719,938,Gigi (1958),Musical,3.25,1278.0
720,940,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,4.0,1467.0
721,941,"Mark of Zorro, The (1940)",Adventure,3.75,1467.0
723,943,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance,3.9285714285714284,949.0
724,944,Lost Horizon (1937),Drama,4.0,478.0
725,945,Top Hat (1935),Comedy|Musical|Romance,4.071428571428571,48.0
727,947,My Man Godfrey (1936),Comedy|Romance,3.75,1031.0
728,948,Giant (1956),Drama|Romance|Western,3.9166666666666665,1215.0
730,950,"Thin Man, The (1934)",Comedy|Crime,3.857142857142857,381.0
731,951,His Girl Friday (1940),Comedy|Romance,4.392857142857143,470.0
732,952,Around the World in 80 Days (1956),Adventure|Comedy,3.625,1302.0
733,953,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance,4.0344827586206895,103.0
734,954,Mr. Smith Goes to Washington (1939),Drama,4.083333333333333,418.0
735,955,Bringing Up Baby (1938),Comedy|Romance,3.861111111111111,1227.0
736,956,Penny Serenade (1941),Drama|Romance,4.0,581.0
740,965,"39 Steps, The (1935)",Drama|Mystery|Thriller,4.045454545454546,933.0
741,968,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller,3.75,1588.0
742,969,"African Queen, The (1951)",Adventure|Comedy|Romance|War,3.9705882352941178,1152.0
743,970,Beat the Devil (1953),Adventure|Comedy|Crime|Drama|Romance,3.5,801.0
744,971,Cat on a Hot Tin Roof (1958),Drama,4.1,516.0
745,973,Meet John Doe (1941),Comedy|Drama,3.9,1075.0
746,976,"Farewell to Arms, A (1932)",Romance|War,3.0,225.0
751,986,Fly Away Home (1996),Adventure|Children,3.5384615384615383,40.0
755,991,Michael Collins (1996),Drama,3.3181818181818183,257.0
757,994,Big Night (1996),Comedy|Drama,4.181818181818182,921.0
764,1006,"Chamber, The (1996)",Drama,3.5,559.0
768,1010,"Love Bug, The (1969)",Children|Comedy,3.0555555555555554,721.0
771,1013,"Parent Trap, The (1961)",Children|Comedy|Romance,3.2083333333333335,1519.0
780,1022,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance,3.488095238095238,140.0
783,1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical,3.58,223.0
785,1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,3.887323943661972,661.0
786,1029,Dumbo (1941),Animation|Children|Drama|Musical,3.3857142857142857,140.0
787,1030,Pete's Dragon (1977),Adventure|Animation|Children|Musical,2.7666666666666666,140.0
789,1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical,3.375,140.0
790,1033,"Fox and the Hound, The (1981)",Animation|Children|Drama,3.575,140.0
792,1035,"Sound of Music, The (1965)",Musical|Romance,3.9375,448.0
796,1041,Secrets & Lies (1996),Drama,4.590909090909091,249.0
797,1042,That Thing You Do! (1996),Comedy|Drama,3.2738095238095237,365.0
809,1059,William Shakespeare's Romeo + Juliet (1996),Drama|Romance,3.7222222222222223,746.0
813,1066,Shall We Dance (1937),Comedy|Musical|Romance,4.5,48.0
814,1068,Crossfire (1947),Crime|Film-Noir,3.5,611.0
819,1079,"Fish Called Wanda, A (1988)",Comedy|Crime,3.9225352112676055,919.0
820,1080,Monty Python's Life of Brian (1979),Comedy,3.9269662921348316,872.3333333333334
821,1081,Victor/Victoria (1982),Comedy|Musical|Romance,3.5416666666666665,803.0
822,1082,"Candidate, The (1972)",Drama,3.5833333333333335,1256.0
824,1084,Bonnie and Clyde (1967),Crime|Drama,4.071428571428571,473.0
827,1088,Dirty Dancing (1987),Drama|Musical|Romance,3.369047619047619,995.0
828,1089,Reservoir Dogs (1992),Crime|Mystery|Thriller,4.202290076335878,997.1818181818181
829,1090,Platoon (1986),Drama|War,3.984126984126984,547.0
832,1093,"Doors, The (1991)",Drama,3.4054054054054053,488.6666666666667
835,1096,Sophie's Choice (1982),Drama,4.05,234.0
836,1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,3.7663934426229506,590.0
839,1101,Top Gun (1986),Action|Romance,3.3012048192771086,820.5
840,1103,Rebel Without a Cause (1955),Drama,4.1,292.0
841,1104,"Streetcar Named Desire, A (1951)",Drama,4.475,516.0
850,1120,"People vs. Larry Flynt, The (1996)",Comedy|Drama,3.537037037037037,930.0
853,1124,On Golden Pond (1981),Drama,3.6538461538461537,587.0
854,1125,"Return of the Pink Panther, The (1975)",Comedy|Crime,3.6875,111.0
862,1135,Private Benjamin (1980),Comedy,3.1153846153846154,1143.0
863,1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,4.161764705882353,384.25
867,1147,When We Were Kings (1996),Documentary,3.9,477.5
868,1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,4.035714285714286,16.0
877,1171,Bob Roberts (1992),Comedy,3.3529411764705883,1256.0
882,1177,Enchanted April (1992),Drama|Romance,4.0,260.0
883,1178,Paths of Glory (1957),Drama|War,4.541666666666667,968.5
884,1179,"Grifters, The (1990)",Crime|Drama|Film-Noir,3.6296296296296298,801.0
886,1183,"English Patient, The (1996)",Drama|Romance|War,3.7111111111111112,584.0
888,1185,My Left Foot (1989),Drama,3.95,249.0
890,1187,Passion Fish (1992),Drama,3.6,841.0
891,1188,Strictly Ballroom (1992),Comedy|Romance,3.659090909090909,432.5
892,1189,"Thin Blue Line, The (1988)",Documentary,4.0,750.5
896,1193,One Flew Over the Cuckoo's Nest (1975),Drama,4.203007518796992,1027.3333333333333
898,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,4.2156398104265405,937.1
899,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,4.232394366197183,821.0
900,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,4.2075,815.125
902,1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,3.9642857142857144,1077.6666666666667
903,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,4.145833333333333,1421.0
905,1203,12 Angry Men (1957),Drama,4.149122807017544,884.7777777777778
906,1204,Lawrence of Arabia (1962),Adventure|Drama|War,4.3,351.0
907,1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,3.995833333333333,707.0
908,1207,To Kill a Mockingbird (1962),Drama,4.120689655172414,760.5
909,1208,Apocalypse Now (1979),Action|Drama|War,4.219626168224299,547.0
910,1209,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western,4.305555555555555,1421.0
911,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,4.137755102040816,1116.6666666666667
913,1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller,4.229166666666667,1014.0
914,1213,Goodfellas (1990),Crime|Drama,4.25,326.0
915,1214,Alien (1979),Horror|Sci-Fi,3.969178082191781,590.0
918,1217,Ran (1985),Drama|War,4.433333333333334,1348.0
920,1219,Psycho (1960),Crime|Horror,4.036144578313253,856.4444444444445
921,1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,3.8095238095238093,463.0
922,1221,"Godfather: Part II, The (1974)",Crime|Drama,4.25968992248062,225.66666666666666
923,1222,Full Metal Jacket (1987),Drama|War,4.098039215686274,580.0
924,1223,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi,4.089285714285714,1161.0
925,1224,Henry V (1989),Action|Drama|Romance|War,4.0,476.0
926,1225,Amadeus (1984),Drama,4.184210526315789,412.0
929,1228,Raging Bull (1980),Drama,4.1875,706.0
930,1230,Annie Hall (1977),Comedy|Romance,3.8706896551724137,378.0
931,1231,"Right Stuff, The (1983)",Drama,3.8636363636363638,890.0
933,1233,"Boot, Das (Boat, The) (1981)",Action|Drama|War,4.2125,1451.0
934,1234,"Sting, The (1973)",Comedy|Crime,3.9765625,519.0
935,1235,Harold and Maude (1971),Comedy|Drama|Romance,4.288461538461538,339.0
937,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,4.222222222222222,912.0
939,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,3.8969465648854964,1022.5
941,1242,Glory (1989),Drama|War,4.170731707317073,108.0
942,1243,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,3.96875,477.0
943,1244,Manhattan (1979),Comedy|Drama|Romance,4.106060606060606,688.0
944,1245,Miller's Crossing (1990),Crime|Drama|Film-Noir|Thriller,4.225,326.0
945,1246,Dead Poets Society (1989),Drama,3.9593023255813953,615.5
946,1247,"Graduate, The (1967)",Comedy|Drama|Romance,4.063291139240507,483.0
948,1249,"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller,4.071428571428571,1007.0
949,1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War,4.122222222222222,402.0
951,1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,4.211864406779661,1033.0
952,1253,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi|Thriller,3.82,590.0
953,1254,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western,3.65625,114.0
956,1257,Better Off Dead... (1985),Comedy|Romance,3.685185185185185,1390.0
957,1258,"Shining, The (1980)",Horror,4.08256880733945,848.6666666666666
958,1259,Stand by Me (1986),Adventure|Drama,4.0054945054945055,496.0
959,1260,M (1931),Crime|Film-Noir|Thriller,3.7333333333333334,1005.8571428571429
961,1262,"Great Escape, The (1963)",Action|Adventure|Drama|War,4.127906976744186,402.0
962,1263,"Deer Hunter, The (1978)",Drama|War,3.8255813953488373,547.0
965,1266,Unforgiven (1992),Drama|Western,4.111111111111111,1327.0
966,1267,"Manchurian Candidate, The (1962)",Crime|Thriller|War,4.25,667.0
968,1269,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller,3.8793103448275863,1176.0
969,1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,4.038011695906433,1497.0
971,1272,Patton (1970),Drama|War,4.121212121212121,565.0
973,1274,Akira (1988),Action|Adventure|Animation|Sci-Fi,3.7435897435897436,923.6666666666666
975,1276,Cool Hand Luke (1967),Drama,4.271929824561403,1274.0
976,1277,Cyrano de Bergerac (1990),Comedy|Drama|Romance,4.125,249.0
977,1278,Young Frankenstein (1974),Comedy|Fantasy,3.9927536231884058,1427.0
979,1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama,4.333333333333333,249.0
980,1281,"Great Dictator, The (1940)",Comedy|Drama|War,4.133333333333334,375.0
